허남웅|7|오컬트 디깅, 개인에서 역사로, 현재에서 과거로, 한국과 일본을 묶어 파고들다
최현수|6|고도로 발달한 살풀이는 민속학과 구별할 수 없다
정재현|7|영화에 멱살 잡혀 떨다보면 빙의되는 캐릭터의 집념과 신념
임수연|7|한반도 중추부터 뿌리내린 동아시아 군사주의 망령에 관한 살풀이
이자연|8|영화 다 보고 집 가는 길에 굵은소금 사서 나한테 뿌렸다
이유채|7|누가 뭐래도 끝까지 판다
이우빈|9|미신과 사기 따위는 안중에도 없는 진짜 전문가 영화
이용철|8|잘 만든 장르영화가, 품은 뜻도 훌륭하다
유선아|7|허기진 혼과 정의 배를 채우는 음양오행의 씻김굿
송경원|6|중반까지는 별 넷
박평식|6|난폭, 변덕, 애국의 삽질
김신|8|시대착오와 비약을 두려워하지 않는 야바위꾼의 황당한 괴담. 너무 마음에 들어
김경수|7|거듭 짓눌린 민족의 정기와 핏줄을 흩뿌리는 종교 인류학적인 굿판
